timestamp,avg_price,Binance Spot_TC,Binance Futures_TC,Bybit_TC,OKX_TC,Binance US_TC,Bitmex_TC
1753639033,0.24,1,0,0,0,0,0
1753639035,,0,0,0,0,0,0
1753639036,,0,0,0,0,0,0
1753639037,0.24,12,0,0,0,0,0
1753639038,,0,0,0,0,0,0
1753639039,0.24,2,0,0,0,0,0
1753639040,0.24,1,0,0,0,0,0
1753639041,0.24,1,0,0,0,0,0
1753639042,0.24,5,0,0,0,0,0
1753639043,,0,0,0,0,0,0
1753639044,0.24,9,0,0,0,0,0
1753639045,0.24,4,0,0,0,0,0
1753639046,,0,0,0,0,0,0
1753639047,,0,0,0,0,0,0
1753639048,0.24,233,0,0,0,0,0
1753639049,0.24,28,0,0,0,0,0
1753639050,0.24,15,0,0,0,0,0
1753639051,0.24,47,0,0,0,0,0
1753639052,0.24,13,0,0,0,0,0
1753639053,0.24,5,0,0,0,0,0
1753639054,0.24,14,0,0,0,0,0
1753639055,,0,0,0,0,0,0
1753639056,0.24,7,0,0,0,0,0
1753639057,0.24,40,0,0,0,0,0
1753639058,0.24,1,0,0,0,0,0
1753639059,0.24,68,0,0,0,0,0
1753639060,0.24,93,0,0,0,0,0
1753639061,0.24,80,0,0,0,1,0
1753639062,0.24,50,0,0,0,0,0
1753639063,0.24,16,0,0,0,0,0
1753639064,0.24,109,0,0,0,0,0
1753639065,0.24,38,0,0,0,0,0
1753639066,0.24,69,0,0,0,0,0
1753639067,0.24,25,0,0,0,0,0
1753639068,0.24,80,0,0,0,0,0
1753639069,0.24,53,0,0,0,0,0
1753639070,0.24,31,0,0,0,0,0
1753639071,0.24,1,0,0,0,0,0
1753639072,0.24,58,0,0,0,0,0
1753639073,0.24,14,0,0,0,0,0
1753639074,0.24,5,0,0,0,0,0
1753639075,0.24,1,0,0,0,0,0
1753639076,0.24,17,0,0,0,0,0
1753639077,0.24,29,0,0,0,0,0
1753639078,,0,0,0,0,0,0
1753639079,0.24,5,0,0,0,0,0
1753639080,,0,0,0,0,0,0
1753639081,,0,0,0,0,0,0
1753639082,,0,0,0,0,0,0
1753639083,,0,0,0,0,0,0
1753639084,0.24,27,0,0,0,0,0
1753639085,0.24,3,0,0,0,0,0
1753639086,0.24,13,0,0,0,0,0
1753639087,0.24,25,0,0,0,0,0
1753639088,0.24,8,0,0,0,0,0
1753639089,0.24,5,0,0,0,0,0
1753639090,0.24,21,0,0,0,0,0
1753639092,0.24,4,0,0,0,0,0
1753639093,,0,0,0,0,0,0
1753639094,0.24,3,0,0,0,0,0
1753639095,0.24,4,0,0,0,0,0
1753639096,0.24,7,0,0,0,0,0
1753639097,0.24,8,0,0,0,0,0
1753639098,,0,0,0,0,0,0
1753639099,,0,0,0,0,0,0
1753639100,0.24,1,0,0,0,0,0
1753639101,0.24,5,0,0,0,0,0
1753639102,,0,0,0,0,0,0
1753639103,0.24,8,0,0,0,1,0
1753639104,0.24,2,0,0,0,0,0
1753639105,0.24,5,0,0,0,0,0
1753639106,0.24,8,0,0,0,0,0
1753639107,0.24,26,0,0,0,0,0
1753639108,,0,0,0,0,0,0
1753639109,,0,0,0,0,0,0
1753639110,,0,0,0,0,0,0
1753639111,0.24,4,0,0,0,0,0
1753639112,,0,0,0,0,0,0
1753639113,0.24,12,0,0,0,0,0
1753639114,,0,0,0,0,0,0
1753639115,0.24,39,0,0,0,0,0
1753639116,0.24,5,0,0,0,0,0
1753639117,0.24,17,0,0,0,0,0
1753639118,0.24,2,0,0,0,0,0
1753639119,0.24,5,0,0,0,0,0
1753639120,0.24,3,0,0,0,0,0
1753639121,,0,0,0,0,0,0
1753639122,0.24,2,0,0,0,0,0
1753639123,0.24,0,0,0,0,1,0
1753639124,,0,0,0,0,0,0
1753639125,0.24,3,0,0,0,0,0
1753639126,0.24,11,0,0,0,0,0
1753639127,0.24,1,0,0,0,0,0
1753639128,0.24,36,0,0,0,0,0
1753639129,,0,0,0,0,0,0
1753639130,0.24,25,0,0,0,0,0
1753639131,0.24,10,0,0,0,0,0
1753639132,0.24,7,0,0,0,0,0
1753639133,0.24,8,0,0,0,0,0
